,Year,year_type
0,1950,rainy
1,1951,rainy
2,1952,dry
3,1953,neutral
4,1954,dry
5,1955,rainy
6,1956,rainy
7,1957,neutral
8,1958,dry
9,1959,dry
10,1960,neutral
11,1961,neutral
12,1962,neutral
13,1963,neutral
14,1964,dry
15,1965,rainy
16,1966,dry
17,1967,neutral
18,1968,rainy
19,1969,dry
20,1970,dry
21,1971,rainy
22,1972,rainy
23,1973,dry
24,1974,rainy
25,1975,rainy
26,1976,rainy
27,1977,dry
28,1978,dry
29,1979,neutral
30,1980,dry
31,1981,neutral
32,1982,neutral
33,1983,dry
34,1984,rainy
35,1985,rainy
36,1986,rainy
37,1987,dry
38,1988,dry
39,1989,rainy
40,1990,neutral
41,1991,neutral
42,1992,dry
43,1993,neutral
44,1994,neutral
45,1995,dry
46,1996,rainy
47,1997,rainy
48,1998,dry
49,1999,rainy
50,2000,rainy
51,2001,rainy
52,2002,neutral
53,2003,dry
54,2004,neutral
55,2005,dry
56,2006,rainy
57,2007,dry
58,2008,rainy
59,2009,rainy
60,2010,dry
61,2011,rainy
62,2012,rainy
63,2013,neutral
64,2014,neutral
65,2015,dry
66,2016,dry
67,2017,neutral
68,2018,rainy
69,2019,dry
70,2020,dry
71,2021,rainy
72,2022,rainy
